Time,Level,Category,Message,Raw Data
"Jun 06, 20:10:21.339","INFO","model","LLM stream clearing","{""category"":""model"",""service"":""call"",""event"":""assistant.model.clearing"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""groq"",""model"":""llama-3.1-8b-instant"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.429","INFO","pipeline","Bot started speaking","{""category"":""pipeline"",""service"":""call"",""event"":""pipeline.botSpeechStarted"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""turn"":0,""userWasSpeaking"":false,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.470","INFO","transcriber","Deepgram Flux first message received","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.requestSucceeded"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""message"":{""type"":""TurnInfo"",""request_id"":""019e9d60-9a76-74b1-906b-bfbcb3d1f197"",""event"":""Update"",""turn_index"":0,""audio_window_start"":0,""audio_window_end"":0.24,""transcript"":"""",""words"":[],""end_of_turn_confidence"":0.4084,""sequence_id"":1},""latencyMs"":6998,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:21.472","INFO","transcriber","Deepgram Flux first message received","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.requestSucceeded"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""provider"":""deepgram"",""model"":""flux-general-en"",""message"":{""type"":""TurnInfo"",""request_id"":""019e9d60-9a78-75a0-b0c1-b2f402b7cda4"",""event"":""Update"",""turn_index"":0,""audio_window_start"":0,""audio_window_end"":0.24,""transcript"":"""",""words"":[],""end_of_turn_confidence"":0.5854,""sequence_id"":1},""latencyMs"":6997,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:22.216","LOG","transcriber","StartOfTurn","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""model"":""flux-general-en"",""message"":""{\n  \""type\"": \""TurnInfo\"",\n  \""request_id\"": \""019e9d60-9a78-75a0-b0c1-b2f402b7cda4\"",\n  \""event\"": \""StartOfTurn\"",\n  \""turn_index\"": 0,\n  \""audio_window_start\"": 0,\n  \""audio_window_end\"": 3.3600001,\n  \""transcript\"": \""Hi.\"",\n  \""words\"": [{\""word\"": \""Hi.\"", \""confidence\"": 0.999}],\n  \""end_of_turn_confidence\"": 0.2925,\n  \""sequence_id\"": 14\n}"",""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:22.216","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi."",""confidence"":0.999,""numWords"":1,""duration"":0,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:22.339","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the"",""confidence"":1,""numWords"":3,""duration"":122,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:22.797","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI for"",""confidence"":1,""numWords"":5,""duration"":581,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:24.001","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam's"",""confidence"":0.9985,""numWords"":7,""duration"":1786,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
"Jun 06, 20:10:24.973","LOG","transcriber","Deepgram flux partial transcript","{""category"":""transcriber"",""service"":""call"",""event"":""assistant.transcriber.partialTranscript"",""eventStatus"":""success"",""orgId"":""6b9f582a-e4b8-4f63-8eab-65d071950dd2"",""callId"":""019e9d60-98d7-7000-80ff-d2c878e56c83"",""subscriptionId"":""288d2335-c686-4da9-8bb4-903f8c4beafc"",""spanId"":""fef2fc21-85b1-4aca-b604-a71a8e650102"",""provider"":""deepgram"",""channel"":""assistant"",""transcript"":""Hi. I'm the AI representation at Sam Scarduby. I"",""confidence"":0.998,""numWords"":9,""duration"":2757,""traceId"":""019e9d60-98d7-7000-80ff-d2c878e56c83""}"
